date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20210204,CA,3294447,,,,totalTestsViral,43235327,14138.0,,3756.0,,,,,B,2/4/2021 02:59,2021-02-04T02:59:00Z,02/03 21:59,42466.0,,2021-02-04T02:59:00Z,43235327,,,3294447.0,,,,,,,,,,,,,,,06,13176,0,3294447,168094,3294447,655,0,e586a21060fe2a0b63ddf5f1a42be4ebce26460f,0,0,0,0,0,
20210203,CA,3281271,,,,totalTestsViral,43067233,14578.0,,3772.0,,,,,B,2/3/2021 02:59,2021-02-03T02:59:00Z,02/02 21:59,41811.0,,2021-02-03T02:59:00Z,43067233,,,3281271.0,,,,,,,,,,,,,,,06,10501,0,3281271,215342,3281271,481,0,10cd12b269b78982e9eca02388a579b58c509a29,0,0,0,0,0,
20210202,CA,3270770,,,,totalTestsViral,42851891,14999.0,,3894.0,,,,,B,2/2/2021 02:59,2021-02-02T02:59:00Z,02/01 21:59,41330.0,,2021-02-02T02:59:00Z,42851891,,,3270770.0,,,,,,,,,,,,,,,06,12064,0,3270770,282698,3270770,422,0,e8bce81b3cdb0f746ba68c5736082a7a6998aece,0,0,0,0,0,
20210201,CA,3258706,,,,totalTestsViral,42569193,15212.0,,3949.0,,,,,B,2/1/2021 02:59,2021-02-01T02:59:00Z,01/31 21:59,40908.0,,2021-02-01T02:59:00Z,42569193,,,3258706.0,,,,,,,,,,,,,,,06,15358,0,3258706,290175,3258706,211,0,46a1783f54c1a7ab10708043ee2fa7a90bb67151,0,0,0,0,0,
20210131,CA,3243348,,,,totalTestsViral,42279018,15676.0,,4047.0,,,,,B,1/31/2021 02:59,2021-01-31T02:59:00Z,01/30 21:59,40697.0,,2021-01-31T02:59:00Z,42279018,,,3243348.0,,,,,,,,,,,,,,,06,18974,0,3243348,298562,3243348,481,0,a8ae3738a5dda2bf44a6e23b3e90e4c66f052ff1,0,0,0,0,0,
20210130,CA,3224374,,,,totalTestsViral,41980456,15941.0,,4042.0,,,,,B,1/30/2021 02:59,2021-01-30T02:59:00Z,01/29 21:59,40216.0,,2021-01-30T02:59:00Z,41980456,,,3224374.0,,,,,,,,,,,,,,,06,18427,0,3224374,303051,3224374,638,0,bc513f8aab21acec17ec0fc2ba363049acb3488c,0,0,0,0,0,
20210129,CA,3205947,,,,totalTestsViral,41677405,16581.0,,4232.0,,,,,B,1/29/2021 02:59,2021-01-29T02:59:00Z,01/28 21:59,39578.0,,2021-01-29T02:59:00Z,41677405,,,3205947.0,,,,,,,,,,,,,,,06,19337,0,3205947,206771,3205947,617,0,eee8dc30a208abdabda2f347bbb07076bb44045a,0,0,0,0,0,
20210128,CA,3186610,,,,totalTestsViral,41470634,17143.0,,4283.0,,,,,B,1/28/2021 02:59,2021-01-28T02:59:00Z,01/27 21:59,38961.0,,2021-01-28T02:59:00Z,41470634,,,3186610.0,,,,,,,,,,,,,,,06,16696,0,3186610,218152,3186610,737,0,a3bdae1db09b8cd78ac6bd3541515f569a1c4982,0,0,0,0,0,
20210127,CA,3169914,,,,totalTestsViral,41252482,17710.0,,4375.0,,,,,B,1/27/2021 02:59,2021-01-27T02:59:00Z,01/26 21:59,38224.0,,2021-01-27T02:59:00Z,41252482,,,3169914.0,,,,,,,,,,,,,,,06,16728,0,3169914,241712,3169914,697,0,b0f2bc2659fad33e8f92c5fd191fbaa916760f21,0,0,0,0,0,
20210126,CA,3153186,,,,totalTestsViral,41010770,18039.0,,4384.0,,,,,B,1/26/2021 02:59,2021-01-26T02:59:00Z,01/25 21:59,37527.0,,2021-01-26T02:59:00Z,41010770,,,3153186.0,,,,,,,,,,,,,,,06,17028,0,3153186,321862,3153186,409,0,eaada1633949b1ec061c7eed9b64ca0da357cabe,0,0,0,0,0,
