date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20210204,AK,53114,,,,totalTestsViral,1529566,43.0,1214.0,,,10.0,,,A,2/4/2021 03:59,2021-02-04T03:59:00Z,02/03 22:59,279,1214.0,2021-02-04T03:59:00Z,1529566.0,64183.0,1463638.0,,,,,,,,,,,,,,,,02,158,0,53114,9360,53114,0,1,a4f46f2a553c068cf7ec3257ae879a845ad85445,0,0,0,0,0,
20210204,AL,467823,100050.0,1781911.0,,totalTestsPeopleViral,2149684,1666.0,42811.0,,2564.0,,1457.0,252880.0,A,2/4/2021 11:00,2021-02-04T11:00:00Z,02/04 06:00,8365,42811.0,2021-02-04T11:00:00Z,,,,367773.0,6642.0,1723.0,,2149684.0,,,,140376.0,,,,,,,01,2767,7810,2249734,9765,2249734,162,84,a467b2e05149c3438d6ecb6b049700bfa4f3dfce,0,0,0,0,0,
20210204,AR,302899,61940.0,2255554.0,,totalTestsViral,2496513,815.0,13902.0,308.0,,145.0,1449.0,280868.0,A+,2/4/2021 00:00,2021-02-04T00:00:00Z,02/03 19:00,5009,13902.0,2021-02-04T00:00:00Z,2496513.0,,2255554.0,240959.0,4013.0,996.0,,,,,,,,,380737.0,72563.0,,,05,2469,14176,2558453,16070,2558453,24,89,7a6011ce2800a23f23f61a7feb75ace59c972e03,0,0,0,0,0,
20210204,AS,0,,2140.0,,totalTestsViral,2140,,,,,,,,N/A,12/1/2020 00:00,2020-12-01T00:00:00Z,11/30 19:00,0,,2020-12-01T00:00:00Z,2140.0,,,0.0,,,,,,,,,,,,,,,60,0,0,2140,0,2140,0,0,2a8898a98294c2280900bcfc8255cfcb166e49c5,0,0,0,0,0,
20210204,AZ,771796,49544.0,2781628.0,,totalTestsViral,6841912,3303.0,54091.0,946.0,,618.0,,106058.0,A+,2/4/2021 00:00,2021-02-04T00:00:00Z,02/03 19:00,13752,54091.0,2021-02-04T00:00:00Z,6841912.0,,,722252.0,12224.0,1528.0,,3503880.0,420413.0,,,,,,,,,,04,4417,10763,3553424,46724,3553424,176,659,887882001db8f5cd2639129f875e2dfdead2fdc0,0,0,0,0,0,
20210204,CA,3294447,,,,totalTestsViral,43235327,14138.0,,3756.0,,,,,B,2/4/2021 02:59,2021-02-04T02:59:00Z,02/03 21:59,42466,,2021-02-04T02:59:00Z,43235327.0,,,3294447.0,,,,,,,,,,,,,,,06,13176,0,3294447,168094,3294447,655,0,e586a21060fe2a0b63ddf5f1a42be4ebce26460f,0,0,0,0,0,
20210204,CO,400851,20227.0,2046519.0,,totalTestEncountersViral,5551135,595.0,22176.0,,,,,21260.0,A,2/4/2021 01:59,2021-02-04T01:59:00Z,02/03 20:59,5677,22176.0,2021-02-04T01:59:00Z,,,,380624.0,4970.0,707.0,5551135.0,2427143.0,355906.0,46365.0,306480.0,,,,,,,,08,1584,8041,2447370,36937,2447370,13,59,068d864ab807f929ec78c02d3468e5d5b816dd97,0,0,0,0,0,
20210204,CT,257941,15667.0,5654383.0,,posNeg,5912324,837.0,12257.0,,,,,9800.0,B,2/3/2021 23:59,2021-02-03T23:59:00Z,02/03 18:59,7185,12257.0,2021-02-03T23:59:00Z,5896657.0,,,242274.0,5872.0,1313.0,,,,,,,,,,,271157.0,16175.0,09,937,28943,5912324,29880,5912324,28,0,9035cd1d1d71942442360347508bebc8dce98b30,0,0,0,0,0,
20210204,DC,37365,,,,totalTestEncountersViral,1116342,248.0,,63.0,,41.0,,26453.0,A+,2/3/2021 00:00,2021-02-03T00:00:00Z,02/02 19:00,932,,2021-02-03T00:00:00Z,,,,,,,1116342.0,414850.0,,,,,,,,,,,11,166,0,37365,4103,37365,6,0,c1d691da10f38f980d2567b2359f8886f135ae9d,0,0,0,0,0,
20210204,DE,79225,3949.0,512060.0,,totalTestEncountersViral,1250852,315.0,,39.0,,,,,A,2/3/2021 18:00,2021-02-03T18:00:00Z,02/03 13:00,1135,,2021-02-03T18:00:00Z,,82586.0,,75276.0,1022.0,113.0,1250852.0,591285.0,,,,,,,,,,,10,243,729,591285,1561,591285,5,0,50eb5115b7bfeb9dbc0aaa562f87512da66215eb,0,0,0,0,0,
20210204,FL,1720760,304561.0,8551797.0,7504.0,totalTestEncountersViral,19474886,5607.0,74721.0,,,,,,A,2/3/2021 23:59,2021-02-03T23:59:00Z,02/03 18:59,27698,74721.0,2021-02-03T23:59:00Z,17291642.0,2246336.0,14964527.0,1416199.0,,,19474886.0,10272557.0,650372.0,71851.0,578113.0,630838.0,69600.0,560932.0,,,,,12,8434,17814,10280061,68280,10272557,226,338,79f6e6195f1495cdb4019635d804f8a402f60db9,0,0,0,0,0,
20210204,GA,928070,164993.0,,,totalTestsViral,6561635,4239.0,51247.0,,8511.0,,,,A+,2/4/2021 14:50,2021-02-04T14:50:00Z,02/04 09:50,14756,51247.0,2021-02-04T14:50:00Z,6561635.0,733538.0,,763077.0,13048.0,1708.0,,,449321.0,62937.0,,,,,,,,,13,5706,0,928070,37412,928070,169,294,91d5b7c5adddba720e645e4a783801ad4827e5dc,0,0,0,0,0,
20210204,GU,7622,207.0,101197.0,,posNeg,108819,5.0,,2.0,,2.0,,7410.0,B,2/4/2021 03:30,2021-02-04T03:30:00Z,02/03 22:30,129,,2021-02-04T03:30:00Z,108612.0,,,7415.0,,,,,343.0,22.0,,,,,,,8333.0,270.0,66,4,446,108819,450,108819,0,0,67c6d1add9705f0d6348ce7c032cbbf11bec357d,0,0,0,0,0,
20210204,HI,26852,665.0,,,totalTestEncountersViral,983021,57.0,2103.0,19.0,,12.0,,,B,2/2/2021 14:30,2021-02-02T14:30:00Z,02/02 09:30,416,2103.0,2021-02-02T14:30:00Z,,25764.0,,26187.0,,,983021.0,,,,,,,,,,,,15,106,0,26852,4120,26852,2,7,7a8737c7b0d576eea5ae7fb4cbb1cccdf2021650,0,0,0,0,0,
20210204,IA,269984,,992449.0,,posNeg,1262433,360.0,,77.0,,31.0,,289989.0,A+,2/4/2021 00:00,2021-02-04T00:00:00Z,02/03 19:00,5033,,2021-02-04T00:00:00Z,2527503.0,292520.0,2221735.0,269984.0,,,,1264787.0,,,,103285.0,14854.0,88383.0,221403.0,52725.0,1165803.0,56018.0,19,700,1548,1262433,2248,1262433,58,0,2a485be0f230c58b42487373a2e842a2a1ecc375,0,0,0,0,0,
20210204,ID,164163,30532.0,475265.0,,totalTestsPeopleViral,608896,203.0,6749.0,47.0,1181.0,,,84159.0,A,2/3/2021 19:00,2021-02-03T19:00:00Z,02/03 14:00,1748,6749.0,2021-02-03T19:00:00Z,1002998.0,,,133631.0,1534.0,214.0,,608896.0,,,,,,,,,78973.0,,16,507,1388,639428,1781,639428,7,17,bddaffac9b1b5694f99037e06086f2582904a028,0,0,0,0,0,
20210204,IL,1137559,,15222096.0,,posNeg,16359655,2341.0,,513.0,,265.0,,,A,2/4/2021 00:00,2021-02-04T00:00:00Z,02/03 19:00,21497,,2021-02-04T00:00:00Z,16359655.0,,,,19444.0,2053.0,,,,,,,,,,,,,17,3328,97979,16359655,101307,16359655,77,0,e42ac0ca01522f0c5837f1f22a5dad5ee01c40f8,0,0,0,0,0,
20210204,IN,633690,,2349336.0,,totalTestsViral,7150804,1541.0,40774.0,331.0,7135.0,175.0,,412819.0,A+,2/3/2021 23:59,2021-02-03T23:59:00Z,02/03 18:59,11637,40774.0,2021-02-03T23:59:00Z,7150804.0,720786.0,,,11231.0,406.0,,2983026.0,,,,,,,,,,,18,2359,7049,2983026,54480,2983026,1546,107,c51d2544fe94ee12862dde6f3d03cbee859eea41,0,0,0,0,0,
20210204,KS,278915,,907934.0,,posNeg,1186849,526.0,8578.0,129.0,2333.0,52.0,411.0,5810.0,A+,2/3/2021 10:00,2021-02-03T10:00:00Z,02/03 05:00,3895,8578.0,2021-02-03T10:00:00Z,2248082.0,,,,,,,1186849.0,,,,,,,,,,,20,0,0,1186849,0,1186849,0,0,f7b526fcc5e2a0c8d5045d5167b701f9bf23af48,0,0,0,0,0,
20210204,KY,372012,82012.0,,,totalTestsViral,3653551,1340.0,17170.0,368.0,3639.0,171.0,,44394.0,A+,2/4/2021 00:00,2021-02-04T00:00:00Z,02/03 19:00,3921,17170.0,2021-02-04T00:00:00Z,3653551.0,232232.0,,290000.0,3576.0,345.0,,,108691.0,8700.0,,,,,,,376312.0,31995.0,21,2493,0,372012,17862,372012,58,160,9b9be88dea07eeeb44c8082e227781645fdda5bc,0,0,0,0,0,
