date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20210204,GA,928070,164993.0,,,totalTestsViral,6561635,4239.0,51247.0,,8511.0,,,,A+,2/4/2021 14:50,2021-02-04T14:50:00Z,02/04 09:50,14756.0,51247.0,2021-02-04T14:50:00Z,6561635,733538,,763077.0,13048.0,1708.0,,,449321.0,62937.0,,,,,,,,,13,5706,0,928070,37412,928070,169,294,91d5b7c5adddba720e645e4a783801ad4827e5dc,0,0,0,0,0,
20210203,GA,922364,163136.0,,,totalTestsViral,6524223,4335.0,50953.0,,8471.0,,,,A+,2/3/2021 14:50,2021-02-03T14:50:00Z,02/03 09:50,14587.0,50953.0,2021-02-03T14:50:00Z,6524223,729320,,759228.0,12907.0,1680.0,,,447290.0,62078.0,,,,,,,,,13,4924,0,922364,30175,922364,137,268,7b3c2d306a7eb7308df48e9a297beca5acee35ef,0,0,0,0,0,
20210202,GA,917440,162028.0,,,totalTestsViral,6494048,4335.0,50685.0,,8439.0,,,,A+,2/2/2021 14:50,2021-02-02T14:50:00Z,02/02 09:50,14450.0,50685.0,2021-02-02T14:50:00Z,6494048,725757,,755412.0,12772.0,1678.0,,,446775.0,61862.0,,,,,,,,,13,4961,0,917440,19915,917440,208,362,dbfcf6874af13c1e24d0e164b78ca44421761152,0,0,0,0,0,
20210201,GA,912479,160031.0,,,totalTestsViral,6474133,4438.0,50323.0,,8400.0,,,,A+,2/1/2021 14:50,2021-02-01T14:50:00Z,02/01 09:50,14242.0,50323.0,2021-02-01T14:50:00Z,6474133,723022,,752448.0,12613.0,1629.0,,,446424.0,61724.0,,,,,,,,,13,3034,0,912479,21387,912479,44,86,d00f3f7cc99ef8d997cb8b5c9dc42bb2b11a6e04,0,0,0,0,0,
20210131,GA,909445,159578.0,,,totalTestsViral,6452746,4476.0,50237.0,,8399.0,,,,A+,1/31/2021 14:50,2021-01-31T14:50:00Z,01/31 09:50,14198.0,50237.0,2021-01-31T14:50:00Z,6452746,719935,,749867.0,12570.0,1628.0,,,445208.0,61213.0,,,,,,,,,13,3587,0,909445,27704,909445,2,105,2a0b5fe28d22608b700898415d23c61c4dbe1a75,0,0,0,0,0,
20210130,GA,905858,158991.0,,,totalTestsViral,6425042,4574.0,50132.0,,8390.0,,,,A+,1/30/2021 14:50,2021-01-30T14:50:00Z,01/30 09:50,14196.0,50132.0,2021-01-30T14:50:00Z,6425042,716476,,746867.0,12568.0,1628.0,,,443440.0,60474.0,,,,,,,,,13,6343,0,905858,46500,905858,210,263,581e25492dbfdacdaea3f47c6347047fdeb062de,0,0,0,0,0,
20210129,GA,899515,157524.0,,,totalTestsViral,6378542,4777.0,49869.0,,8360.0,,,,A+,1/28/2021 14:50,2021-01-28T14:50:00Z,01/28 09:50,13986.0,49869.0,2021-01-28T14:50:00Z,6378542,710996,,741991.0,12410.0,1576.0,,,441761.0,59736.0,,,,,,,,,13,6558,0,899515,40314,899515,159,261,fb235b5bdb99494e9730879b622737c27c9eeb92,0,0,0,0,0,
20210128,GA,892957,155752.0,,,totalTestsViral,6338228,4953.0,49608.0,,8331.0,,,,A+,1/28/2021 14:50,2021-01-28T14:50:00Z,01/28 09:50,13827.0,49608.0,2021-01-28T14:50:00Z,6338228,705770,,737205.0,12280.0,1547.0,,,439649.0,58885.0,,,,,,,,,13,7352,0,892957,42184,892957,184,361,19a9fec5744a667de3931da802bad766d05d36c5,0,0,0,0,0,
20210127,GA,885605,153779.0,,,totalTestsViral,6296044,5074.0,49247.0,,8290.0,,,,A+,1/27/2021 14:52,2021-01-27T14:52:00Z,01/27 09:52,13643.0,49247.0,2021-01-27T14:52:00Z,6296044,700011,,731826.0,12135.0,1508.0,,,437886.0,58216.0,,,,,,,,,13,6384,0,885605,24499,885605,161,332,6dbaf3c2b8b4e7be79ecf7e2fd6821a943714868,0,0,0,0,0,
20210126,GA,879221,151469.0,,,totalTestsViral,6271545,5157.0,48915.0,,8248.0,,,,A+,1/26/2021 14:52,2021-01-26T14:52:00Z,01/26 09:52,13482.0,48915.0,2021-01-26T14:52:00Z,6271545,696183,,727752.0,11996.0,1486.0,,,437302.0,57994.0,,,,,,,,,13,8393,0,879221,36649,879221,179,417,804b764821e3561c030a9fd1eb29dfc6deaa664c,0,0,0,0,0,
20210125,GA,870828,148766.0,,,totalTestsViral,6234896,5231.0,48498.0,,8203.0,,,,A+,1/25/2021 14:50,2021-01-25T14:50:00Z,01/25 09:50,13303.0,48498.0,2021-01-25T14:50:00Z,6234896,690288,,722062.0,11854.0,1449.0,,,436787.0,57763.0,,,,,,,,,13,3917,0,870828,26036,870828,53,113,7db713f425b52bbd5fe214e1c5093204b82c3aca,0,0,0,0,0,
20210124,GA,866911,148379.0,,,totalTestsViral,6208860,5293.0,48385.0,,8199.0,,,,A+,1/24/2021 14:50,2021-01-24T14:50:00Z,01/24 09:50,13250.0,48385.0,2021-01-24T14:50:00Z,6208860,686333,,718532.0,11801.0,1449.0,,,435326.0,57197.0,,,,,,,,,13,4753,0,866911,34390,866911,4,115,613ba0577a91bd8d94bec02661a0822f99572afa,0,0,0,0,0,
