date,states,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,dateChecked,death,hospitalized,totalTestResults,lastModified,recovered,total,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,hash
20210204,56,26455629.0,118405439.0,11914.0,88668.0,819380.0,17918.0,42472.0,5732.0,4059.0,2021-02-04T24:00:00Z,446134.0,819380.0,318604926,2021-02-04T24:00:00Z,,0,0,5212,3402,518526,123907,1678444,c90621bc51e1e4284915d8ecfd479dbc91020299
20210203,56,26331722.0,117886913.0,12077.0,91440.0,815978.0,18147.0,42323.0,5920.0,4044.0,2021-02-03T24:00:00Z,440922.0,815978.0,316926482,2021-02-03T24:00:00Z,,0,0,3685,3975,487679,116960,1442998,f4b89b20a910d652d3e765170ef8bcdd4107d341
20210202,56,26214762.0,117399234.0,10590.0,92880.0,812003.0,18388.0,42148.0,6047.0,4035.0,2021-02-02T24:00:00Z,437237.0,812003.0,315483484,2021-02-02T24:00:00Z,,0,0,3486,3285,361311,117616,1402996,b198a947d89d3165f720a746b43f52886f5b88a1
20210201,56,26097146.0,117037923.0,11957.0,93536.0,808718.0,18572.0,41998.0,6086.0,4025.0,2021-02-01T24:00:00Z,433751.0,808718.0,314080488,2021-02-01T24:00:00Z,,0,0,1562,1766,649106,120200,1633780,1c46e2517f427137e2f3317b7c86eacbe4d45e9b
20210131,56,25976946.0,116388817.0,12007.0,95013.0,806952.0,18968.0,41934.0,6291.0,4019.0,2021-01-31T24:00:00Z,432189.0,806952.0,312446708,2021-01-31T24:00:00Z,,0,0,2059,2171,421100,119367,1716062,b29b19e7c1249ba749238efe9f36d6baa88b614a
20210130,56,25857579.0,115967717.0,11986.0,97561.0,804781.0,19130.0,41872.0,6329.0,4016.0,2021-01-30T24:00:00Z,430130.0,804781.0,310730646,2021-01-30T24:00:00Z,,0,0,2982,3147,529064,148824,2157704,bad36339c313c423c621debf86a72763317d2261
20210129,56,25708755.0,115438653.0,12400.0,101003.0,801634.0,19609.0,41758.0,6483.0,4011.0,2021-01-29T24:00:00Z,427148.0,801634.0,308572942,2021-01-29T24:00:00Z,,0,0,3503,2835,605845,167111,1952298,7272d29bf10115fb78e78502c02d26c16c1682dc
20210128,56,25541644.0,114832808.0,12095.0,104303.0,798799.0,20113.0,41588.0,6642.0,4000.0,2021-01-28T24:00:00Z,423645.0,798799.0,306620644,2021-01-28T24:00:00Z,,0,0,4011,3500,578279,157306,1951285,8f5102b783a2636b2a7d307505357d320b24c1af
20210127,56,25384338.0,114254529.0,11972.0,107444.0,795299.0,20497.0,41402.0,6806.0,3985.0,2021-01-27T24:00:00Z,419634.0,795299.0,304669359,2021-01-27T24:00:00Z,,0,0,4077,4134,518507,153985,1654456,007c072db73c3ee9cdd3f3fc4238f396f2a5c129
20210126,56,25230353.0,113736022.0,9879.0,108960.0,791165.0,20573.0,41205.0,6832.0,3976.0,2021-01-26T24:00:00Z,415557.0,791165.0,303014903,2021-01-26T24:00:00Z,,0,0,3734,3705,565751,146448,1725082,e3ad72b42bd6a457d021cd2beffad0a95a818b84
20210125,56,25083905.0,113170271.0,10963.0,109936.0,787460.0,20875.0,41028.0,6857.0,3949.0,2021-01-25T24:00:00Z,411823.0,787460.0,301289821,2021-01-25T24:00:00Z,,0,0,1593,2515,535497,133454,1720880,f1b4fd60c08ac5b8f4f094bc90df0d358690c612
20210124,56,24950451.0,112634774.0,10892.0,110628.0,784945.0,21168.0,40931.0,6989.0,3943.0,2021-01-24T24:00:00Z,410230.0,784945.0,299568941,2021-01-24T24:00:00Z,,0,0,1944,1909,412763,144234,1764476,cd00391b5eb282c4f12c9ea68f858c03da64b5d8
20210123,56,24806217.0,112222011.0,10864.0,113609.0,783036.0,21657.0,40853.0,7110.0,3941.0,2021-01-23T24:00:00Z,408286.0,783036.0,297804465,2021-01-23T24:00:00Z,,0,0,3591,6652,559167,177118,1968395,1c9d7d376f694ce65b6e90b7136fa1d011c4bd92
20210122,56,24629099.0,111662844.0,11247.0,116264.0,776384.0,22008.0,40687.0,7236.0,3919.0,2021-01-22T24:00:00Z,404695.0,776384.0,295836070,2021-01-22T24:00:00Z,,0,0,3980,4325,627979,190915,2032714,47442af05c033dbf9ef6aa8949465371be33278a
20210121,56,24438184.0,111034865.0,10907.0,119949.0,772059.0,22309.0,40481.0,7370.0,3910.0,2021-01-21T24:00:00Z,400715.0,772059.0,293803356,2021-01-21T24:00:00Z,,0,0,3878,4053,574713,186275,1935268,424fb7f4cce38f6e7d6b2bc7ce4144e33ddb7216
20210120,56,24251909.0,110460152.0,10841.0,122700.0,768006.0,22809.0,40340.0,7564.0,3897.0,2021-01-20T24:00:00Z,396837.0,768006.0,291868088,2021-01-20T24:00:00Z,,0,0,4409,5105,558282,189203,1823829,def5d411aeb485537890818303c94bbda7de7b48
20210119,56,24062706.0,109901870.0,10472.0,123820.0,762901.0,23029.0,40103.0,7688.0,3883.0,2021-01-19T24:00:00Z,392428.0,762901.0,290044259,2021-01-19T24:00:00Z,,0,0,2141,3206,646314,146626,1727996,f0ad57e23e6ca1cd7d1830d542d0d9fca1d17404
20210118,56,23916080.0,109255556.0,11477.0,123848.0,759695.0,23226.0,39973.0,7772.0,3865.0,2021-01-18T24:00:00Z,390287.0,759695.0,288316263,2021-01-18T24:00:00Z,,0,0,1395,2839,766315,150792,2115985,21a264753b735353f68f4535ee6db4b7a4a2740f
20210117,56,23765288.0,108489241.0,11404.0,124387.0,756856.0,23432.0,39864.0,7797.0,3860.0,2021-01-17T24:00:00Z,388892.0,756856.0,286200278,2021-01-17T24:00:00Z,,0,0,2053,2167,490957,187218,1892881,59fdbd3370ea32858e4285fac7cf3bacef41ef3a
20210116,56,23578070.0,107998284.0,11334.0,126139.0,754689.0,23524.0,39797.0,7755.0,3858.0,2021-01-16T24:00:00Z,386839.0,754689.0,284307397,2021-01-16T24:00:00Z,,0,0,3709,4039,507306,218085,2078818,8311ada4198a8a9dddf9679fa39066d5cb2bcde0
20210115,56,23359985.0,107490978.0,11948.0,127235.0,750650.0,23593.0,39626.0,7772.0,3845.0,2021-01-15T24:00:00Z,383130.0,750650.0,282228579,2021-01-15T24:00:00Z,,0,0,3679,4000,713021,246454,2322266,a1a5961d1cfae529ae8b88f0822eeb7236c3cd20
20210114,56,23113531.0,106777957.0,12138.0,128947.0,746650.0,23891.0,39418.0,7878.0,3829.0,2021-01-14T24:00:00Z,379451.0,746650.0,279906313,2021-01-14T24:00:00Z,,0,0,3915,3792,621766,225616,2043945,93fb87c69ef04d5e4e9976dfbd0a798561b8f22e
20210113,56,22887915.0,106156191.0,10942.0,130391.0,742858.0,23857.0,39248.0,7902.0,3811.0,2021-01-13T24:00:00Z,375536.0,742858.0,277862368,2021-01-13T24:00:00Z,,0,0,4087,5312,485436,224491,1839630,fa542a57e0e23f39841a620c34f41a32c283d035
20210112,56,22663424.0,105670755.0,9181.0,131326.0,737546.0,23881.0,39049.0,7879.0,3796.0,2021-01-12T24:00:00Z,371449.0,737546.0,276022738,2021-01-12T24:00:00Z,,0,0,4064,4657,677831,218020,1958786,1b57cc3bed8a650d6f70afd8e3c66dd07b625c46
20210111,56,22445404.0,104992924.0,11039.0,129793.0,732889.0,23501.0,38823.0,7786.0,3773.0,2021-01-11T24:00:00Z,367385.0,732889.0,274063952,2021-01-11T24:00:00Z,,0,0,1733,3045,633776,195255,1867076,3364aa7ba3e13956eae0a713b893bd6643416262
20210110,56,22250149.0,104359148.0,10957.0,129223.0,729844.0,23640.0,38706.0,7878.0,3771.0,2021-01-10T24:00:00Z,365652.0,729844.0,272196876,2021-01-10T24:00:00Z,,0,0,2068,2413,464420,228732,2024548,893592eca63d94f8096ac7962cdf4761a4d28ce2
20210109,56,22021417.0,103894728.0,10850.0,130781.0,727431.0,23718.0,38607.0,7791.0,3767.0,2021-01-09T24:00:00Z,363584.0,727431.0,270172328,2021-01-09T24:00:00Z,,0,0,3537,6683,569537,269368,2111681,ac1a7526d2993505f662253fb70911e28f9889f4
20210108,56,21752049.0,103325191.0,11633.0,131921.0,720748.0,23912.0,38432.0,7908.0,3756.0,2021-01-08T24:00:00Z,360047.0,720748.0,268060647,2021-01-08T24:00:00Z,,0,0,3780,4705,675322,295121,2163546,debcd9b1c897012d669528a87277542ffc5c5b27
20210107,56,21456928.0,102649869.0,11612.0,132370.0,716043.0,23821.0,38236.0,7900.0,3748.0,2021-01-07T24:00:00Z,356267.0,716043.0,265897101,2021-01-07T24:00:00Z,,0,0,4079,5312,573875,272043,1946262,2dbfeeb3785c36ecbe9147c3e1c6a4b0d2ef4be9
20210106,56,21184885.0,102075994.0,10062.0,132474.0,710731.0,23708.0,38064.0,7946.0,3739.0,2021-01-06T24:00:00Z,352188.0,710731.0,263950839,2021-01-06T24:00:00Z,,0,0,3902,6607,493339,250184,1638284,260f5908a73c754cd8e662c0ac8400e89c55ceff
