,date,state,positive,negative,death,totalTestResults,hospitalized
1,20210209,AL,474666.0,1825185.0,8579.0,2197811.0,43499.0
2,20210209,AR,308848.0,2297201.0,5148.0,2542434.0,14174.0
4,20210209,AZ,787268.0,2834530.0,14286.0,7037126.0,54967.0
6,20210209,CO,407210.0,2076197.0,5746.0,5684631.0,22561.0
7,20210209,CT,264608.0,5839944.0,7298.0,6104552.0,12257.0
10,20210209,FL,1758254.0,8699606.0,28526.0,20010122.0,76001.0
15,20210209,ID,165658.0,480452.0,1776.0,615270.0,6819.0
17,20210209,IN,641874.0,2373511.0,11942.0,7328824.0,41207.0
18,20210209,KS,282960.0,920799.0,4197.0,1203759.0,8749.0
21,20210209,MA,546896.0,4178170.0,15124.0,14420574.0,18402.0
22,20210209,MD,365529.0,2893656.0,7413.0,7274451.0,33288.0
23,20210209,ME,41630.0,1424937.0,639.0,1466567.0,1450.0
25,20210209,MN,469254.0,2874496.0,6308.0,6442513.0,24863.0
27,20210209,MP,133.0,17429.0,2.0,17562.0,4.0
28,20210209,MS,282969.0,1360637.0,6342.0,1643606.0,8902.0
29,20210209,MT,96288.0,903621.0,1315.0,999909.0,4374.0
31,20210209,ND,98175.0,299860.0,1457.0,1364736.0,3814.0
32,20210209,NE,194170.0,743532.0,1978.0,2190059.0,5917.0
33,20210209,NH,68918.0,561401.0,1109.0,1322008.0,1063.0
34,20210209,NJ,728304.0,9183953.0,22103.0,9912257.0,61797.0
35,20210209,NM,178280.0,2270271.0,3430.0,2448551.0,12505.0
39,20210209,OK,406064.0,2903052.0,3870.0,3309116.0,22789.0
43,20210209,RI,119434.0,641128.0,2248.0,2673348.0,8587.0
44,20210209,SC,470311.0,4044411.0,7693.0,4514722.0,18814.0
45,20210209,SD,109405.0,298972.0,1809.0,408377.0,6387.0
46,20210209,TN,747462.0,5865055.0,10631.0,6612517.0,17786.0
48,20210209,UT,356040.0,1467542.0,1748.0,2688842.0,13950.0
52,20210209,WA,323214.0,4464543.0,4451.0,4771837.0,18480.0
53,20210209,WI,602256.0,2541584.0,6663.0,6351878.0,25021.0
55,20210209,WY,52830.0,173985.0,647.0,704836.0,1306.0
57,20210208,AL,473348.0,1820080.0,8523.0,2191851.0,43383.0
58,20210208,AR,307373.0,2290742.0,5106.0,2535155.0,14099.0
60,20210208,AZ,782887.0,2820314.0,14055.0,6993662.0,54713.0
62,20210208,CO,406276.0,2073084.0,5733.0,5672214.0,22329.0
63,20210208,CT,263739.0,5818147.0,7282.0,6081886.0,12257.0
66,20210208,FL,1751343.0,8674916.0,28287.0,19918981.0,75648.0
71,20210208,ID,165209.0,478767.0,1767.0,613210.0,6793.0
73,20210208,IN,640744.0,2370441.0,11875.0,7303220.0,41109.0
74,20210208,KS,282960.0,920799.0,4197.0,1203759.0,8749.0
77,20210208,MA,545303.0,4172254.0,15054.0,14368462.0,18402.0
78,20210208,MD,364553.0,2890239.0,7372.0,7260091.0,33187.0
79,20210208,ME,41419.0,1422112.0,636.0,1463531.0,1445.0
81,20210208,MN,468682.0,2873714.0,6302.0,6433140.0,24780.0
83,20210208,MP,133.0,17429.0,2.0,17562.0,4.0
84,20210208,MS,282313.0,1327630.0,6270.0,1609943.0,8777.0
85,20210208,MT,95914.0,899586.0,1314.0,995500.0,4356.0
87,20210208,ND,98184.0,299198.0,1454.0,1364158.0,3811.0
88,20210208,NE,193826.0,742775.0,1968.0,2183665.0,5901.0
89,20210208,NH,68499.0,560059.0,1106.0,1314658.0,1058.0
90,20210208,NJ,724728.0,8998911.0,22011.0,9723639.0,61597.0
91,20210208,NM,177867.0,2261983.0,3412.0,2439850.0,12445.0
95,20210208,OK,404994.0,2889535.0,3817.0,3294529.0,22774.0
99,20210208,RI,119104.0,675090.0,2236.0,2667850.0,8549.0
100,20210208,SC,468403.0,4026401.0,7690.0,4494804.0,18788.0
101,20210208,SD,109283.0,298513.0,1809.0,407796.0,6377.0
102,20210208,TN,745826.0,5856972.0,10566.0,6602798.0,17695.0
104,20210208,UT,355122.0,1465488.0,1738.0,2683416.0,13889.0
108,20210208,WA,320146.0,4412414.0,4449.0,4716859.0,18283.0
109,20210208,WI,601391.0,2538097.0,6614.0,6335252.0,24919.0
111,20210208,WY,52784.0,173751.0,624.0,704836.0,1306.0
113,20210207,AL,472423.0,1816273.0,8515.0,2187329.0,43005.0
