owning_agency_name,reporting_agency_name,submission_period,allocation_transfer_agency_identifier_code,agency_identifier_code,beginning_period_of_availability,ending_period_of_availability,availability_type_code,main_account_code,sub_account_code,treasury_account_symbol,treasury_account_name,agency_identifier_name,allocation_transfer_agency_identifier_name,budget_function,budget_subfunction,federal_account_symbol,federal_account_name,program_activity_code,program_activity_name,object_class_code,object_class_name,direct_or_reimbursable_funding_source,disaster_emergency_fund_code,disaster_emergency_fund_name,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,gross_outlay_amount,last_modified_date
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,11.3,Other than full-time permanent,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",49022.81,-1298.64,39664.92,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,11.3,Other than full-time permanent,D,P,Paycheck Protection Program and Health Care Enhancement Act,526190.58,-85.11,455090.13,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,11.1,Full-time permanent,D,P,Paycheck Protection Program and Health Care Enhancement Act,1279770.49,-46850.03,1374145.68,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,12.1,Civilian personnel benefits,D,P,Paycheck Protection Program and Health Care Enhancement Act,675517.23,-18840.12,712649.01,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,31.0,Equipment,D,M,Families First Coronavirus Response Act,0.00,0.00,6000.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,22.0,Transportation of things,D,P,Paycheck Protection Program and Health Care Enhancement Act,127038.99,0.00,4516265.37,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,43.0,Interest and dividends,D,P,Paycheck Protection Program and Health Care Enhancement Act,5999.91,0.00,5999.91,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,41.0,"Grants, subsidies, and contributions",D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",32213131.00,0.00,0.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,25.2,Other services from non-Federal sources,D,P,Paycheck Protection Program and Health Care Enhancement Act,-50523419366.73,-1539561225.73,953343870.59,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,25.2,Other services from non-Federal sources,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",63005092678.31,-774772837.59,9481947007.56,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,25.4,Operation and maintenance of facilities,D,P,Paycheck Protection Program and Health Care Enhancement Act,10840.50,0.00,0.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,24.0,Printing and reproduction,D,P,Paycheck Protection Program and Health Care Enhancement Act,1543.00,0.00,1543.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,23.1,Rental payments to GSA,D,P,Paycheck Protection Program and Health Care Enhancement Act,1036.57,0.00,1031.04,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,25.3,Other goods and services from Federal sources,D,M,Families First Coronavirus Response Act,0.00,0.00,15413.63,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,23.3,"Communications, utilities, and miscellaneous charges",D,P,Paycheck Protection Program and Health Care Enhancement Act,16060.00,-56.79,29763.02,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,31.0,Equipment,D,P,Paycheck Protection Program and Health Care Enhancement Act,336006.09,-6727.83,351678.48,2021-01-28
